Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
East 1 Level 2,,56.0,24.0,,,,16:00,Monday
East 1 Level 3,,109.0,47.0,,,,16:00,Monday
East 1 Level 4,,78.0,33.0,,,,16:00,Monday
North Level 6,145.0,,,,,,18:00,Monday
North Level 5,192.0,,,,,,18:00,Monday
North Level 4,192.0,,,,,,18:00,Monday
North Level 3,137.0,,,,,,18:00,Monday
North Level 2,73.0,,,,,,18:00,Monday
North Level 1,70.0,,,1.0,18.0,,18:00,Monday
Union Level 6,,43.0,43.0,1.0,2.0,,18:00,Monday
Union Level 5,,125.0,124.0,2.0,3.0,,18:00,Monday
Union Level 4,45.0,1.0,1.0,,0.0,,18:00,Monday
Union Level 3,152.0,,,,5.0,,18:00,Monday
Union Level 2,170.0,,,,5.0,,18:00,Monday
Union Level 1,32.0,,,0.0,6.0,,18:00,Monday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,18:00,Monday
CRI Deck 1 Level 6,67.0,68.0,67.0,,2.0,,18:00,Monday
CRI Deck 1 Level 5,66.0,66.0,66.0,,4.0,,18:00,Monday
CRI Deck 1 Level 4,47.0,48.0,47.0,,8.0,,18:00,Monday
CRI Deck 1 Level 3,58.0,58.0,57.0,1.0,3.0,,18:00,Monday
CRI Deck 1 Level 2,51.0,51.0,51.0,2.0,4.0,,18:00,Monday
CRI Deck 1 Level 1,26.0,26.0,26.0,,2.0,,18:00,Monday
West Level 2,89.0,,,,,,18:00,Monday
West Level 3,97.0,,,3.0,,,18:00,Monday
West Level 4,83.0,,,,,,18:00,Monday
West Level 5,107.0,,,,,,18:00,Monday
South Village Level 1,2.0,1.0,84.0,0.0,5.0,,18:00,Monday
South Village Level 2,1.0,0.0,,2.0,4.0,,18:00,Monday
South Village Level 3,1.0,0.0,,6.0,0.0,,18:00,Monday
South Village Level 4,21.0,21.0,,,3.0,,18:00,Monday
South Village Level 5,48.0,48.0,,,3.0,,18:00,Monday
South Village Level 6,70.0,69.0,,,1.0,,18:00,Monday
East 3 Level 1,70.0,,,9.0,4.0,,18:00,Monday
East 3 Level 2,98.0,,,,,,18:00,Monday
East 3 Level 3,138.0,,,,,,18:00,Monday
East 3 Level 4,163.0,,,,,,18:00,Monday
East 3 Level 5,114.0,,,,,,18:00,Monday
East 2 Level 4,80.0,,,,,,18:00,Monday
East 2 Level 3,85.0,,,,,,18:00,Monday
East 2 Level 2,11.0,,,,,,18:00,Monday
